taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
281920,D015212,6.8947783367013804e-09,0.6222133333333333,0.12221333333333328,0.004606538294393351,0.0072669155878388085,increased,500,300
291644,D015212,8.37829462523798e-05,0.41702666666666666,0.08297333333333334,0.004678119371016054,0.0035548215965129663,decreased,500,300
301301,D015212,1.0343442436657768e-47,0.19389333333333333,0.30610666666666664,0.004646977970466476,0.0011334680876628523,decreased,500,300
301302,D015212,0.01604743529622506,0.44920666666666664,0.05079333333333336,0.004356717100525884,0.0036049103018979843,decreased,500,300
308994,D015212,2.4786098226246354e-09,0.6257866666666667,0.1257866666666667,0.004799830096924092,0.007778655528417356,increased,500,300
310297,D015212,0.005119823083523088,0.4409466666666667,0.05905333333333329,0.004654367455667538,0.0037820361923661737,decreased,500,300
310298,D015212,4.314347462460022e-37,0.23157333333333335,0.26842666666666665,0.0042165684351892115,0.0011664832844617034,decreased,500,300
322095,D015212,2.9026953325894044e-23,0.7096,0.2096,0.004568934352824177,0.011311355309110604,increased,500,300
328812,D015212,1.9872605065807168e-10,0.6342133333333333,0.1342133333333333,0.004378018391587516,0.007376649116083896,increased,500,300
328813,D015212,0.008755110509165257,0.4447,0.055300000000000016,0.0047921616937277225,0.0036959264182417108,decreased,500,300
328814,D015212,6.48340468516172e-46,0.19993999999999998,0.30006,0.00428186775155622,0.0011374749231411877,decreased,500,300
329854,D015212,0.028816948179134994,0.45388666666666666,0.04611333333333334,0.004485344652535701,0.003767389550830226,decreased,500,300
338188,D015212,3.672398361506697e-11,0.63958,0.13958000000000004,0.004571450457104985,0.008057459726013716,increased,500,300
349096,D015212,6.857654464995815e-06,0.4051133333333333,0.09488666666666667,0.004807347852984111,0.0032906800786356174,decreased,500,300
351091,D015212,2.490923873868717e-44,0.20537333333333332,0.2946266666666667,0.004381298424834553,0.0011472514346505536,decreased,500,300
357276,D015212,0.0007208485584369637,0.42866666666666664,0.07133333333333336,0.0047149384044415845,0.0036404454209344964,decreased,500,300
360807,D015212,1.5232567964778728e-11,0.6423,0.14229999999999998,0.004672489367520575,0.007925457683416992,increased,500,300
363265,D015212,3.7101257538091136e-05,0.41298666666666667,0.08701333333333333,0.004759434590710267,0.0034095267887903507,decreased,500,300
367282,D015212,3.678519794925732e-54,0.17310666666666663,0.32689333333333337,0.0049173105412566665,0.0010999674618457408,decreased,500,300
371601,D015212,6.777345274994933e-15,0.6643,0.1643,0.004909574559898109,0.010531791920139729,increased,500,300
384638,D015212,5.744952451385244e-07,0.6054666666666667,0.10546666666666671,0.004720190184030375,0.007177021181233228,increased,500,300
387090,D015212,0.6925817140496588,0.49166,0.008340000000000014,0.004390803189894524,0.00411686619000065,decreased,500,300
397865,D015212,9.436948916524822e-42,0.2144333333333333,0.2855666666666667,0.004347808213148565,0.0011823030768685727,decreased,500,300
