run_id,relative_abundance,phenotype,ncbi_taxon_id
SRR5396561,0.00705268,D015212,301301
SRR5650034,1.58534,D015212,301301
SRR5650170,0.78399,D015212,301301
SRR5650037,0.04432,D015212,301301
SRR5650108,0.00286,D015212,301301
SRR5650106,0.08376,D015212,301301
SRR5650110,0.05558,D015212,301301
SRR5650086,0.02867,D015212,301301
SRR5650150,0.31059,D015212,301301
SRR5650181,0.03582,D015212,301301
SRR5650068,0.68202,D015212,301301
SRR5650032,2.0919,D015212,301301
SRR5650111,0.22268,D015212,301301
SRR5650091,0.31087,D015212,301301
SRR5650142,0.02578,D015212,301301
SRR5650189,4.90303,D015212,301301
SRR5650088,0.14409,D015212,301301
